Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_length,ucl_f_length,ucl_i_length,sml_mem,ucl_f_mem,ucl_i_mem,max
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4022_e2_267,valid,2,0.083,4,27,0,0,0,N/A,N/A,N/A,N/A,N/A,0.015,0.011,0.001,0.004,14,7,12,0,0,0,N/A,7,5,N/A,1.51,1.365,61712
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4022_e3_3628,valid,2,0.078,4,27,0,0,0,N/A,N/A,N/A,N/A,N/A,0.014,0.01,0.001,0.003,14,7,12,0,0,0,N/A,7,5,N/A,1.51,1.392,61896
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4037,valid,2,0.081,4,25,0,0,0,N/A,N/A,N/A,N/A,N/A,0.012,0.012,0.001,0.004,13,5,10,1,0,0,N/A,7,4,N/A,1.51,1.223,61720
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104,valid,2,0.08,4,26,0,0,0,N/A,N/A,N/A,N/A,N/A,0.013,0.011,0.001,0.004,13,5,10,0,0,0,N/A,7,4,N/A,1.51,1.223,61956
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104_e1_6205,valid,2,0.084,4,27,0,0,0,N/A,N/A,N/A,N/A,N/A,0.014,0.011,0.001,0.004,14,7,12,0,0,0,N/A,7,5,N/A,1.51,1.365,61928
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104_e2_3308,valid,2,0.083,4,28,0,0,0,N/A,N/A,N/A,N/A,N/A,0.014,0.012,0.001,0.004,15,6,12,1,0,0,N/A,7,5,N/A,1.51,1.27,65804
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104_e3_2607,valid,2,0.082,4,24,0,0,0,N/A,N/A,N/A,N/A,N/A,0.014,0.013,0.001,0.004,13,5,10,2,0,0,N/A,7,4,N/A,1.51,1.223,61732
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e1_1318,valid,2,0.084,4,25,0,0,0,N/A,N/A,N/A,N/A,N/A,0.013,0.013,0.001,0.004,13,5,10,1,0,0,N/A,7,4,N/A,1.51,1.223,61912
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e2_1089,valid,2,0.091,4,27,0,0,0,N/A,N/A,N/A,N/A,N/A,0.017,0.012,0.001,0.005,14,6,12,1,0,0,N/A,7,5,N/A,1.51,1.292,63784
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e4_1791,valid,2,0.103,5,36,0,0,0,N/A,N/A,N/A,N/A,N/A,0.018,0.017,0.001,0.005,19,9,17,0,0,0,N/A,9,7,N/A,1.669,1.487,61924
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e5_1536,valid,2,0.079,4,26,0,0,0,N/A,N/A,N/A,N/A,N/A,0.013,0.01,0.001,0.004,13,5,10,0,0,0,N/A,7,4,N/A,1.51,1.223,61720
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_5957,valid,2,0.079,4,25,0,0,0,N/A,N/A,N/A,N/A,N/A,0.011,0.013,0.001,0.004,14,7,12,2,0,0,N/A,7,5,N/A,1.51,1.365,61652
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_1,valid,2,0.022,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.003,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.813,0.813,37304
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_1_e1_1092_e2_1853,valid,2,0.022,1,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.003,0,0.001,1,0,1,0,0,0,N/A,1,1,N/A,0.813,0.813,38992
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_10,valid,2,0.02,1,10,0,0,0,N/A,N/A,N/A,N/A,N/A,0.003,0.002,0,0.001,4,2,3,0,0,0,N/A,2,1,N/A,0.657,0.395,34916
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_10_e7_919_e2_3192,valid,2,0.022,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.002,0,0.001,4,2,3,1,0,0,N/A,2,1,N/A,0.657,0.395,34960
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_2,valid,2,0.026,1,11,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.004,0.001,0.001,4,1,3,0,0,0,N/A,2,1,N/A,1.084,0.808,41072
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3,valid,2,0.029,2,16,0,0,0,N/A,N/A,N/A,N/A,N/A,0.007,0.003,0,0.001,9,5,8,2,0,0,N/A,4,3,N/A,0.819,0.691,35048
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3_e2_2236,valid,2,0.032,2,16,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.003,0,0.001,9,5,8,2,0,0,N/A,4,3,N/A,0.819,0.691,36952
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3_e2_2236_e1_2305,valid,2,0.03,2,16,0,0,0,N/A,N/A,N/A,N/A,N/A,0.007,0.003,0,0.001,9,5,8,2,0,0,N/A,4,3,N/A,0.819,0.691,35160
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3_e2_2236_e2_1058,valid,2,0.029,2,16,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.003,0,0.001,9,5,8,2,0,0,N/A,4,3,N/A,0.819,0.691,37216
