Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_ind_length,ul_ind_length,ul_init_length,sml_ind_mem,ul_ind_mem,ul_init_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e1_5434,valid,2,0.032,1,10,0,0,0,0,0,0,0,0,0.005,0.003,0,0.002,4,2,3,0,2,0,0,2,1,0.021,0.638,0.383,1,6.074,1,0,0,57652
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e2_1145,valid,2,0.038,1,9,0,0,0,0,0,0,0,0,0.005,0.003,0,0.002,4,2,3,1,1,0,0,2,1,0.021,0.638,0.383,1,6.142,1,0,0,57592
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e3_5316,valid,2,0.031,1,9,0,0,0,0,0,0,0,0,0.004,0.003,0,0.002,4,2,3,1,1,0,0,2,1,0.021,0.634,0.383,1,6.019,1,0,0,59832
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_9_e7_1843_e7_2225,valid,2,0.044,2,14,0,0,0,0,0,0,0,0,0.006,0.004,0,0.002,6,3,6,1,3,0,1,3,3,6.453,0.717,0.604,0,0.021,1,0,0,57548
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all,valid,2,0.085,4,28,0,0,0,0,0,0,0,0,0.015,0.012,0.001,0.007,15,8,14,1,9,0,3,7,6,9.591,1.51,1.415,1,6.46,3,0,0,63764
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4022_e1_1759,valid,2,0.094,5,30,0,0,0,0,0,0,0,0,0.017,0.011,0.001,0.007,18,8,15,2,8,0,2,9,6,8.322,1.67,1.414,1,6.893,5,2,0,61720
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4022_e2_267,valid,2,0.085,4,26,0,0,0,0,0,0,0,0,0.016,0.011,0.001,0.006,14,7,12,0,8,0,2,7,5,8.421,1.51,1.365,1,6.39,3,1,0,61668
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4022_e3_3628,valid,2,0.088,4,26,0,0,0,0,0,0,0,0,0.015,0.011,0.001,0.007,14,7,12,0,8,0,2,7,5,8.12,1.51,1.392,1,6.334,3,1,0,63896
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4037,valid,2,0.087,4,23,0,0,0,0,0,0,0,0,0.014,0.012,0.001,0.006,13,5,10,1,5,0,1,7,4,6.846,1.51,1.223,1,6.705,4,2,0,65972
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104,valid,2,0.08,4,24,0,0,0,0,0,0,0,0,0.013,0.01,0.001,0.005,13,5,10,0,6,0,1,7,4,6.79,1.51,1.223,1,6.761,4,2,0,61796
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104_e1_6205,valid,2,0.083,4,26,0,0,0,0,0,0,0,0,0.014,0.011,0.001,0.006,14,7,12,0,8,0,2,7,5,8.372,1.51,1.365,1,6.455,3,1,0,63924
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104_e2_3308,valid,2,0.103,5,32,0,0,0,0,0,0,0,0,0.018,0.012,0.002,0.008,20,10,17,1,11,1,2,9,6,8.104,1.669,1.413,1,6.895,6,2,0,61884
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104_e3_2607,valid,2,0.089,4,22,0,0,0,0,0,0,0,0,0.014,0.012,0.001,0.006,13,5,10,2,4,0,1,7,4,6.846,1.51,1.223,1,6.705,4,2,0,61716
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e1_1318,valid,2,0.098,5,29,0,0,0,0,0,0,0,0,0.017,0.013,0.001,0.007,18,8,15,3,7,0,2,9,6,8.438,1.669,1.411,1,6.895,5,2,0,63956
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e2_1089,valid,2,0.08,4,24,0,0,0,0,0,0,0,0,0.013,0.01,0.001,0.005,13,5,10,0,6,0,1,7,4,6.79,1.51,1.223,1,6.705,4,2,0,61804
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e4_1791,valid,2,0.1,5,32,0,0,0,0,0,0,0,0,0.017,0.015,0.001,0.007,18,8,15,0,10,0,2,9,6,8.271,1.669,1.411,1,6.895,5,2,0,63868
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e5_1536,valid,2,0.087,4,26,0,0,0,0,0,0,0,0,0.014,0.012,0.001,0.007,14,6,12,1,7,0,2,7,5,8.281,1.51,1.269,1,6.822,4,1,0,61844
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_5957,valid,2,0.084,4,24,0,0,0,0,0,0,0,0,0.014,0.012,0.001,0.006,14,7,12,2,6,0,2,7,5,8.311,1.51,1.365,1,6.388,3,1,0,63788
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_1,valid,2,0.021,1,7,0,0,0,0,0,0,0,0,0.003,0.003,0,0.001,1,0,1,0,0,0,0,1,1,0.021,0.813,0.813,0,0.021,0,0,0,36968
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_1_e1_1092_e2_1853,valid,2,0.021,1,7,0,0,0,0,0,0,0,0,0.003,0.003,0,0.001,1,0,1,0,0,0,0,1,1,0.021,0.813,0.813,0,0.021,0,0,0,37016
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_10,valid,2,0.022,1,10,0,0,0,0,0,0,0,0,0.004,0.002,0,0.001,4,2,3,0,2,0,0,2,1,0.021,0.657,0.395,1,4.51,1,0,0,37124
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_10_e7_919_e2_3192,valid,2,0.024,1,9,0,0,0,0,0,0,0,0,0.004,0.002,0,0.001,4,2,3,1,1,0,0,2,1,0.021,0.657,0.395,1,4.554,1,0,0,36912
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_2,valid,2,0.026,1,11,0,0,0,0,0,0,0,0,0.004,0.004,0,0.002,4,1,3,0,2,0,1,2,1,4.938,1.084,0.808,1,4.67,2,0,0,39192
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3,valid,2,0.03,2,16,0,0,0,0,0,0,0,0,0.006,0.003,0.001,0.002,9,5,8,2,4,0,1,4,3,4.912,0.819,0.691,1,4.398,2,0,0,36900
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3_e2_2236,valid,2,0.03,2,16,0,0,0,0,0,0,0,0,0.006,0.003,0,0.003,9,5,8,2,4,0,1,4,3,4.918,0.819,0.691,1,4.407,2,0,0,37004
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3_e2_2236_e1_2305,valid,2,0.03,2,16,0,0,0,0,0,0,0,0,0.006,0.003,0,0.002,9,5,8,2,4,0,1,4,3,4.918,0.819,0.691,1,4.407,2,0,0,35068
