Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,f_sml,f_reuse_sml,sml_ind_length,sml_ind_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all,valid,2,0.103,4,31,0,0,0,0,0,0.017,0.013,0.001,0.007,0,0,0,0.021,1,6.894,10,2,0,61776
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4022_e1_1759,valid,2,0.096,5,38,0,0,0,0,0,0.018,0.013,0.001,0.006,0,0,0,0.021,1,7.042,13,3,0,61820
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4022_e2_267,valid,2,0.081,4,31,0,0,0,0,0,0.013,0.012,0.001,0.005,0,0,0,0.021,1,6.884,10,2,0,61652
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4022_e3_3628,valid,2,0.087,4,31,0,0,0,0,0,0.015,0.013,0.001,0.005,0,0,0,0.021,1,6.884,10,2,0,63620
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e1_4037,valid,2,0.089,4,29,0,0,0,0,0,0.011,0.012,0.001,0.006,0,0,0,0.021,1,6.884,9,2,0,61812
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104,valid,2,0.082,4,29,0,0,0,0,0,0.013,0.011,0,0.006,0,0,0,0.021,1,6.939,9,2,0,61624
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104_e1_6205,valid,2,0.087,4,33,0,0,0,0,0,0.015,0.012,0.001,0.006,0,0,0,0.021,1,6.884,11,2,0,61580
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104_e2_3308,valid,2,0.079,4,33,0,0,0,0,0,0.014,0.009,0.001,0.005,0,0,0,0.021,1,6.884,11,2,0,61728
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e2_6104_e3_2607,valid,2,0.077,4,29,0,0,0,0,0,0.012,0.01,0.001,0.005,0,0,0,0.021,1,6.884,9,2,0,61832
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e1_1318,valid,2,0.085,4,29,0,0,0,0,0,0.014,0.013,0.001,0.005,0,0,0,0.021,1,6.939,9,2,0,61856
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e2_1089,valid,2,0.081,4,29,0,0,0,0,0,0.014,0.01,0.001,0.005,0,0,0,0.021,1,6.884,9,2,0,63648
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e4_1791,valid,2,0.085,4,31,0,0,0,0,0,0.013,0.014,0,0.006,0,0,0,0.021,1,6.939,10,2,0,63820
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_4821_e5_1536,valid,2,0.087,4,29,0,0,0,0,0,0.015,0.011,0.001,0.006,0,0,0,0.021,1,6.884,9,2,0,61708
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_all_e3_5957,valid,2,0.098,5,40,0,0,0,0,0,0.019,0.012,0,0.006,0,0,0,0.021,1,7.043,14,3,0,63652
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_1,valid,2,0.02,1,7,0,0,0,0,0,0.003,0.003,0,0.001,0,0,0,0.021,0,0.021,0,0,0,39048
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_1_e1_1092_e2_1853,valid,2,0.02,1,7,0,0,0,0,0,0.003,0.003,0,0.001,0,0,0,0.021,0,0.021,0,0,0,37112
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_10,valid,2,0.033,1,12,0,0,0,0,0,0.005,0.003,0,0.003,0,0,0,0.021,1,4.634,3,0,0,34824
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_10_e7_919_e2_3192,valid,2,0.022,1,12,0,0,0,0,0,0.004,0.003,0,0.001,0,0,0,0.021,1,4.678,3,0,0,35104
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_2,valid,2,0.039,1,12,0,0,0,0,0,0.005,0.006,0,0.004,0,0,0,0.021,1,4.67,3,0,0,38928
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3,valid,2,0.029,2,21,0,0,0,0,0,0.006,0.003,0,0.002,0,0,0,0.021,1,4.783,7,1,0,34744
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3_e2_2236,valid,2,0.043,2,21,0,0,0,0,0,0.008,0.005,0,0.002,0,0,0,0.021,1,4.792,7,1,0,34972
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3_e2_2236_e1_2305,valid,2,0.031,2,21,0,0,0,0,0,0.006,0.004,0,0.002,0,0,0,0.021,1,4.792,7,1,0,35020
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3_e2_2236_e2_1058,valid,2,0.033,2,21,0,0,0,0,0,0.006,0.004,0,0.002,0,0,0,0.021,1,4.792,7,1,0,37116
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_3_e2_2236_e7_3681,valid,2,0.031,2,21,0,0,0,0,0,0.007,0.003,0,0.002,0,0,0,0.021,1,4.796,7,1,0,34748
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e1_2375,invalid,2,0.321,12 5,359,0,0.001,0.002,0.002,0,0.112,0.067,0.002,0.039,144,60,21,29.017,2,7.271,199,14,0,36916
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e4_1464,invalid,2,0.316,12 5,359,0,0.001,0.002,0.002,0,0.11,0.066,0.002,0.038,144,60,21,29.017,2,7.271,199,14,0,37024
