Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_length,ucl_f_length,ucl_i_length,sml_mem,ucl_f_mem,ucl_i_mem,max
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_2_e1_1116_e3_287,invalid,5,1.721,14 12 9 5 3,624,0,0,0.012,N/A,N/A,N/A,N/A,N/A,0.844,0.238,0.009,0.175,1084,1028,1072,595,0,0,N/A,50,27,N/A,5.557,3.935,38440
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_6_e1_152,valid,12,3.452,34 33 31 30 28 26 24 21 17 12 6,1889,0.001,0.001,0.023,N/A,N/A,N/A,N/A,N/A,1.59,0.532,0.03,0.407,2501,2147,2219,933,0,0,N/A,109,17,N/A,9.04,2.377,57508
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/fast_2_e8_460_e8_1920,valid,3,0.102,2 1,58,0,0,0,N/A,N/A,N/A,N/A,N/A,0.035,0.007,0.001,0.01,41,24,30,7,0,0,N/A,7,6,N/A,1.336,1.027,32356
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_2_e7_1027_e1_1047,valid,3,0.042,3 2,34,0,0,0,N/A,N/A,N/A,N/A,N/A,0.016,0.006,0.001,0.002,22,17,20,4,0,0,N/A,6,3,N/A,1.379,0.772,32280
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/hysteresis_2,valid,3,0.046,4 3,35,0,0,0,N/A,N/A,N/A,N/A,N/A,0.017,0.007,0.001,0.002,18,12,15,0,0,0,N/A,6,3,N/A,1.088,0.785,32996
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_2_e8_491_e7_826,valid,3,0.068,6 3,56,0,0,0,N/A,N/A,N/A,N/A,N/A,0.025,0.009,0.002,0.005,39,31,35,7,0,0,N/A,9,4,N/A,1.849,0.936,32612
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/PRODUCER_CONSUMER_2,valid,2,0.023,2,15,0,0,0,N/A,N/A,N/A,N/A,N/A,0.006,0.003,0,0.001,11,6,8,4,0,0,N/A,3,2,N/A,0.978,0.715,32364
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/metros_2_e1_1116_e7_1440,invalid,4,2.626,36 22 10 3,1115,0,0,0.037,N/A,N/A,N/A,N/A,N/A,1.337,0.487,0.01,0.166,1091,985,1048,116,0,0,N/A,68,33,N/A,6.396,4.994,41728
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/speed_e7_207_e7_538,valid,2,0.01,0,4,0,0,0,N/A,N/A,N/A,N/A,N/A,0.001,0.001,0,0,0,0,0,0,0,0,N/A,0,0,N/A,0.021,0.021,32332
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/car_3_e8_33_e2_1010,valid,2,0.018,1,8,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.002,0,0,4,3,4,2,0,0,N/A,2,1,N/A,0.882,0.476,32272
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/PRODUCER_CONSUMMER_luke_1,invalid,0,0.01,N/A,2,0,0,0,N/A,N/A,N/A,N/A,N/A,0.001,0.001,0,0,0,0,0,0,0,0,N/A,0,0,N/A,0,0,32056
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/simulation/cd_e7_621_e7_669,invalid,2,0.117,6 0,87,0,0,0,N/A,N/A,N/A,N/A,N/A,0.049,0.015,0.001,0.011,54,40,56,0,0,0,N/A,7,8,N/A,1.41,1.503,33476
