Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,f_sml,f_reuse_sml,sml_ind_length,sml_ind_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_12,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e1_1207_e2_3220,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_rt_e2_3460_e2_2670,invalid,1,15.375,0,18,0,0,0,0,0,0.005,15.327,0,0.006,0,0,0,0.021,1,4.912,4,0,0,71612
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_2_e3_151_e3_1540,invalid,1,5.278,0,24,0,0,0,0,0,0.006,5.229,0,0.007,0,0,0,0.021,1,4.911,7,0,0,59712
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_4,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b_e1_1139_e1_1565,invalid,1,0.171,0,23,0,0,0,0,0,0.006,0.125,0,0.004,0,0,0,0.021,0,0.021,6,0,0,40964
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_1_e2_1997,valid,2,0.096,2,24,0,0,0,0,0,0.006,0.043,0,0.004,0,0,0,0.021,1,6.564,7,0,0,57752
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3_e3_5422_e2_3135,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_10,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_2_e7_1826_e8_126,valid,6,1.948,19 17 15 11 6,573,0,0.001,0.109,0.037,0.101,0.142,1.218,0.003,0.096,258,146,20,26.961,1,5.649,320,21,0.003,92460
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_5_e1_2552_e7_1169,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all_e3_4821_e1_1318,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
