Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ind_solver,ic3_ind_gen_time,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_all_e8_251_e3_1472,invalid,1,0.318,2,36,19,0.21,0.01,0.266,0,0.004
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/ILLINOIS_1,valid,2,0.053,2,16,5,0.004,0.004,0.012,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MOESI_1,valid,2,0.037,1,13,5,0.002,0.002,0.014,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/ILLINOIS_2,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_3_e8_1329_e7_1062,valid,2,7.647,1,10,2,0.014,0.003,7.623,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MOESI_2_e3_929_e2_2421,invalid,0,0.015,N/A,2,0,0,0.001,0.006,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_3_e2_819_e2_562,invalid,0,0.016,N/A,2,0,0,0,0.006,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/ILLINOIS_2_e1_834_e7_3738,invalid,0,0.017,N/A,2,0,0,0.001,0.007,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_2_e8_1118_e7_1043,valid,2,7.284,1,10,2,0.011,0.003,7.264,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/ILLINOIS_2_e2_2367_e7_2728,invalid,0,0.018,N/A,2,0,0,0.001,0.008,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_123_e2_1653,invalid,0,0.018,N/A,2,0,0,0,0.01,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_123_e7_837_e7_1262,valid,2,74.276,3,32,18,0.257,0.012,74.232,0.001,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_i4_e4_1689,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/ILLINOIS_3,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_123_e8_953_e3_271,invalid,1,0.06,0,8,0,0,0.001,0.036,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_i3_e1_447_e1_1292,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_3_e1_1416_e7_193,invalid,0,0.011,N/A,2,0,0,0.001,0.003,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/ILLINOIS_2_e2_2367_e1_3182,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_i1_e4_1986_e1_1519,invalid,1,52.151,0,17,6,0.008,0.004,52.119,0,0.003
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_3_e8_1329_e3_421,invalid,1,0.553,0,17,6,0.107,0.005,0.522,0,0.003
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_5_e2_1525,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_3_e1_2517_e8_2163,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MOESI_2_e8_101,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_i1_e2_2656,invalid,0,0.013,N/A,2,0,0,0,0.005,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_2,valid,2,14.809,1,14,6,0.077,0.004,14.782,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/ILLINOIS_3_e3_2581_e4_958,invalid,0,0.013,N/A,1,0,0,0.001,0.003,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/SYNAPSE_123,valid,2,35.232,3,34,20,0.286,0.011,35.187,0.001,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/ILLINOIS_2_e2_2367_e2_1561,invalid,0,0.018,N/A,2,0,0,0.001,0.008,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MOESI_2_e3_929_e3_2294,invalid,1,240.92,0,17,6,0.062,0.005,240.882,0,0.004
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory2/MESI_i3,invalid,0,0.011,N/A,2,0,0,0,0.003,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/Gas,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/car_1,valid,4,0.105,2 1 0,119,90,0.053,0.026,0.04,0,0.004
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/car_6_e1_152_e1_391,valid,9,79.519,12 11 9 7 5 2 1 0,2676,2421,58.14,8.667,56.681,0.007,0.453
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/PRODUCER_CONSUMER_all,valid,2,0.048,2,23,12,0.007,0.006,0.017,0.001,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/simulation/car_4_e8_118,valid,3,0.051,2 1,56,37,0.018,0.012,0.013,0,0.002
